age,sex,citizen,hispan,n
33,female,naturalized citizen,cuban,32
33,female,naturalized citizen,other,180
34,male,born abroad of american parents,not hispanic,171
34,male,born abroad of american parents,mexican,18
34,male,born abroad of american parents,puerto rican,7
34,male,born abroad of american parents,cuban,1
34,male,born abroad of american parents,other,17
34,male,naturalized citizen,not hispanic,687
34,male,naturalized citizen,mexican,188
34,male,naturalized citizen,puerto rican,5
34,male,naturalized citizen,cuban,33
34,male,naturalized citizen,other,149
34,female,born abroad of american parents,not hispanic,181
34,female,born abroad of american parents,mexican,22
34,female,born abroad of american parents,puerto rican,7
34,female,born abroad of american parents,other,20
34,female,naturalized citizen,not hispanic,819
34,female,naturalized citizen,mexican,192
34,female,naturalized citizen,puerto rican,3
34,female,naturalized citizen,cuban,36
34,female,naturalized citizen,other,182
35,male,born abroad of american parents,not hispanic,162
35,male,born abroad of american parents,mexican,26
35,male,born abroad of american parents,puerto rican,3
35,male,born abroad of american parents,other,15
35,male,naturalized citizen,not hispanic,751
35,male,naturalized citizen,mexican,182
35,male,naturalized citizen,puerto rican,6
35,male,naturalized citizen,cuban,25
35,male,naturalized citizen,other,165
35,female,born abroad of american parents,not hispanic,123
35,female,born abroad of american parents,mexican,21
35,female,born abroad of american parents,puerto rican,3
35,female,born abroad of american parents,cuban,1
35,female,born abroad of american parents,other,15
35,female,naturalized citizen,not hispanic,923
35,female,naturalized citizen,mexican,255
35,female,naturalized citizen,puerto rican,2
35,female,naturalized citizen,cuban,35
35,female,naturalized citizen,other,205
36,male,born abroad of american parents,not hispanic,173
36,male,born abroad of american parents,mexican,23
36,male,born abroad of american parents,puerto rican,4
36,male,born abroad of american parents,cuban,1
36,male,born abroad of american parents,other,19
36,male,naturalized citizen,not hispanic,779
36,male,naturalized citizen,mexican,195
36,male,naturalized citizen,puerto rican,7
36,male,naturalized citizen,cuban,33
36,male,naturalized citizen,other,151
36,female,born abroad of american parents,not hispanic,165
36,female,born abroad of american parents,mexican,19
36,female,born abroad of american parents,puerto rican,4
36,female,born abroad of american parents,cuban,1
36,female,born abroad of american parents,other,21
36,female,naturalized citizen,not hispanic,1022
36,female,naturalized citizen,mexican,254
36,female,naturalized citizen,puerto rican,3
36,female,naturalized citizen,cuban,33
36,female,naturalized citizen,other,220
37,male,born abroad of american parents,not hispanic,164
37,male,born abroad of american parents,mexican,12
37,male,born abroad of american parents,puerto rican,4
37,male,born abroad of american parents,cuban,1
37,male,born abroad of american parents,other,19
37,male,naturalized citizen,not hispanic,804
37,male,naturalized citizen,mexican,184
37,male,naturalized citizen,puerto rican,5
37,male,naturalized citizen,cuban,28
37,male,naturalized citizen,other,194
37,female,born abroad of american parents,not hispanic,166
37,female,born abroad of american parents,mexican,30
37,female,born abroad of american parents,puerto rican,3
37,female,born abroad of american parents,cuban,3
37,female,born abroad of american parents,other,18
37,female,naturalized citizen,not hispanic,1078
37,female,naturalized citizen,mexican,256
37,female,naturalized citizen,puerto rican,3
37,female,naturalized citizen,cuban,22
37,female,naturalized citizen,other,241
38,male,born abroad of american parents,not hispanic,169
38,male,born abroad of american parents,mexican,14
38,male,born abroad of american parents,puerto rican,6
38,male,born abroad of american parents,other,15
38,male,naturalized citizen,not hispanic,817
38,male,naturalized citizen,mexican,182
38,male,naturalized citizen,puerto rican,7
38,male,naturalized citizen,cuban,21
38,male,naturalized citizen,other,158
38,female,born abroad of american parents,not hispanic,147
38,female,born abroad of american parents,mexican,23
38,female,born abroad of american parents,puerto rican,3
38,female,born abroad of american parents,cuban,2
38,female,born abroad of american parents,other,14
38,female,naturalized citizen,not hispanic,1085
38,female,naturalized citizen,mexican,238
38,female,naturalized citizen,puerto rican,4
38,female,naturalized citizen,cuban,22
38,female,naturalized citizen,other,256
39,male,born abroad of american parents,not hispanic,149
39,male,born abroad of american parents,mexican,25
39,male,born abroad of american parents,puerto rican,2
39,male,born abroad of american parents,other,18
39,male,naturalized citizen,not hispanic,871
39,male,naturalized citizen,mexican,201
